ID,MatchID,PlayerID,Time,Type,AssistingPlayerID
01,01,18,29,R,20
02,01,28,55,P,00
03,01,26,57,R,28
04,02,18,73,R,00
05,03,28,17,R,00
06,03,18,40,R,00
07,03,26,57,R,18
08,03,31,77,R,26
09,05,26,30,R,20
10,06,26,15,R,32
11,06,32,23,R,00
12,06,17,68,R,31
13,07,32,29,R,00
14,09,26,24,R,17
15,10,31,50,R,00
16,10,28,58,R,07
17,10,16,75,R,26
18,11,26,21,R,11
19,11,11,24,R,00
20,11,23,56,R,00
21,11,26,75,R,11
22,12,26,31,R,16
23,12,26,41,R,32
24,12,32,68,R,00
25,13,26,65,R,23
26,14,18,17,R,27
27,14,26,77,R,18
28,14,26,83,R,00
29,15,20,30,R,32
30,15,28,31,R,32
31,15,28,48,R,26
32,15,32,87,R,00
33,15,33,89,O,00
34,16,26,42,R,08
35,18,32,20,R,13
36,18,06,26,R,28
37,18,26,44,R,23
38,18,28,66,R,28
39,19,32,26,R,00
40,19,26,52,R,28
41,19,28,71,R,20
42,20,32,06,R,26
43,20,28,52,R,32
44,20,12,65,R,00
45,20,28,66,R,26
46,20,23,82,R,00
47,21,26,52,R,18
48,21,26,76,R,07
49,22,18,61,R,00
50,22,09,94,R,06
51,23,23,09,R,28
52,23,28,59,R,23
53,23,18,61,R,26
54,23,26,68,R,00
55,25,20,26,R,00
56,25,28,45,R,18
57,25,26,78,P,00
58,26,26,03,R,00
59,26,26,91,R,00
60,27,28,06,R,26
61,27,26,42,R,28
62,28,20,29,R,26
63,28,26,51,R,23
64,28,28,57,R,20
65,28,18,77,R,13
66,29,26,40,R,23
67,29,18,55,R,28
68,30,34,66,O,00
69,31,26,04,R,18
70,31,26,43,R,13
71,31,28,49,R,26
72,31,26,77,R,18
73,31,26,85,R,00
74,32,18,49,R,07
75,32,26,84,R,13
76,34,18,07,R,00,
77,34,26,69,R,12
78,34,28,90,R,21
79,35,29,04,R,16,
80,35,26,72,R,23
